#,url,domain,type,duplicate_domain,lang,topic,counts_as_link
30,https://notes.io/e9A47,notes.io,pad/paste,Y,en,memory tips (general),Y
31,https://koldinghayden0.werite.net/remember-these-tips-and-you-can-remember-anything,werite.net,web2.0 blog,Y,en,memory tips (general),Y
32,https://holmecook3.bravejournal.net/great-techniques-to-help-improve-your-memory,bravejournal.net,web2.0 blog,Y,en,memory tips (general),Y
33,https://bragg-mclain-2.blogbright.net/a-excellent-memory-how-you-can-have-one-to-1789834659,blogbright.net,web2.0 blog,Y,en,memory tips (general),Y
34,https://jackson-munck-2.technetbloggers.de/having-trouble-with-your-memory-3f-read-these-tips-1789834660,technetbloggers.de,web2.0 blog,Y,en,memory tips (general),Y
35,https://notes.medien.rwth-aachen.de/PQLwfNHCSYuDg-4NsrECrw,notes.medien.rwth-aachen.de,pad/paste,Y,en,memory tips (general),Y
36,https://hackmd.hub.yt/aP-BNBT1TWiyllmTO9YBJg,hackmd.hub.yt,pad/paste,N,en,memory tips (general),Y
37,https://hedgedoc.uni-ak.ac.at/x984_vlpQ12cZb7UPYZGkA,hedgedoc.uni-ak.ac.at,pad/paste,N,en,memory tips (general),Y
38,https://doc.neutrinet.be/fu4iSsJ9TLSxv00IbP-ipA,doc.neutrinet.be,pad/paste,N,en,memory tips (general),Y
39,https://pad.funkwhale.audio/wzWN-QWnRdix6P6f6y3arg,pad.funkwhale.audio,pad/paste,N,en,memory tips (general),Y
40,https://hedgedoc.envs.net/klQRKHXySWGi7B-lSVCC2Q,hedgedoc.envs.net,pad/paste,N,en,memory tips (general),Y
41,https://dok.kompot.si/y9PBrjwkSHC0ledZReIFkg,dok.kompot.si,pad/paste,N,en,memory tips (general),Y
42,https://hackmd.okfn.de/UWFoSbe3TXKbBygDOArAPA,hackmd.okfn.de,pad/paste,Y,en,memory tips (general),Y
43,https://pad.public.cat/XT4V8tL_SB22Qy_mYcBfPw,pad.public.cat,pad/paste,N,en,memory tips (general),Y
44,https://blogfreely.net/sawyerknight2/tips-on-how-to-improve-your-memory,blogfreely.net,web2.0 blog,Y,en,memory tips (general),Y
45,https://squareblogs.net/mcmahonlind99935/learn-to-manage-your-memory-better-with-these-tips,squareblogs.net,web2.0 blog,Y,en,memory tips (general),Y
46,https://postheaven.net/haydenknight7/tips-anyone-can-use-to-improve-their-memory,postheaven.net,web2.0 blog,Y,en,memory tips (general),Y
47,https://zenwriting.net/holmeknight0/easy-ways-anyone-can-improve-their-memory,zenwriting.net,web2.0 blog,Y,en,memory tips (general),Y
48,https://writeablog.net/housekolding7/advice-on-making-your-memory-more-reliable,writeablog.net,web2.0 blog,Y,en,memory tips (general),Y
49,https://www.credly.com/users/sawyerhouse0,credly.com,profile,Y,en,-,Y
50,https://www.question2answer.org/qa/user/KoldingRowland5,question2answer.org,profile,N,en,-,Y
51,https://intensedebate.com/people/koldingcook4,intensedebate.com,profile,N,en,-,Y
52,https://www.blurb.com/user/SawyerHouse4,blurb.com,profile,Y,en,-,Y
